avatar_id,default_voice,is_public,normal_preview,pose_name,status
Rika_ProfessionalLook_public,ac277b338cf64d8b9686784c43c563da,True,https://files2.heygen.ai/avatar/v3/02f0809d0617439786400f7b843d0b9e_55930/preview_target.webp,Rika Professional Look,ACTIVE
Rika_CasualLook_public,ac277b338cf64d8b9686784c43c563da,True,https://files2.heygen.ai/avatar/v3/edfe155a51294088bcf97a55d8b46d70_55920/preview_target.webp,Rika Casual Look,ACTIVE
Thaddeus_Black_Shirt_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/624978e3fa2c4d989d92f272e6cc9a79_55450/preview_talk_1.webp,Thaddeus in Black Shirt,ACTIVE
Thaddeus_Black_Suit_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/a1a6a9c57e2b4eab920a683e66b3e921_55450/preview_target.webp,Thaddeus in Black Suit,ACTIVE
Thaddeus_Chair_Sitting_public,da04d9a268ac468887a68359908e55b7,True,https://files2.heygen.ai/avatar/v3/5af8a33c88d044ecb7f29c244d879e97_55440/preview_target.webp,Thaddeus Chair Sitting,ACTIVE
Rika_Blue_Suit_public,ac277b338cf64d8b9686784c43c563da,True,https://files2.heygen.ai/avatar/v3/e9a6933e10f94273a72a484d99ff5618_55430/preview_talk_1.webp,Rika in Blue Suit,ACTIVE
Rika_Black_Suit_public,ac277b338cf64d8b9686784c43c563da,True,https://files2.heygen.ai/avatar/v3/6170f31327e2465095f0121c65a7cb1b_55430/preview_target.webp,Rika in Black Suit,ACTIVE
Rika_Chair_Sitting_public,ac277b338cf64d8b9686784c43c563da,True,https://files2.heygen.ai/avatar/v3/2b901b6b72c4444d81a93a2eb8fe1070_55420/preview_target.webp,Rika Chair Sitting,ACTIVE
Pedro_Black_Suit_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/1273ddd881eb4114a792e56c8ebe8998_55410/preview_talk_1.webp,Pedro in Black Suit,ACTIVE
Pedro_Blue_Shirt_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/2a658e2358c24bf299c40701a82f40c2_55410/preview_target.webp,Pedro in Blue Shirt,ACTIVE
Pedro_Chair_Sitting_public,fbc81b179407457688c45c0f250ec3ce,True,https://files2.heygen.ai/avatar/v3/92de79e533a8421bb86da63a0e5eb12f_57010/preview_target.webp,Pedro Chair Sitting,ACTIVE
